Country_code,Country,DESIGN,Designation,DOMAIN_CODE,Domain,MEASURE_CODE,Measure,Year
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2013
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2014
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2015
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2016
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2017
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2018
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2019
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2020
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2021
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1950
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1960
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1970
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1980
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1985
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1990
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1995
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2000
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2001
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2002
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2003
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2004
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2005
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2006
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2007
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2008
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2009
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2010
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2011
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2012
GRC,Greece,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2013
